,start_station_name,end_station_name,count,index_x,lat_x,lng_x,index_y,lat_y,lng_y
55,11 St & Washington St,12 St & Sinatra Dr N,12.0,11 St & Washington St,40.749990333032464,-74.02718736140429,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
56,14 St Ferry - 14 St & Shipyard Ln,12 St & Sinatra Dr N,80.0,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
57,4 St & Grand St,12 St & Sinatra Dr N,18.0,4 St & Grand St,40.742268376059016,-74.03508320196188,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
58,6 St & Grand St,12 St & Sinatra Dr N,22.0,6 St & Grand St,40.74437858646239,-74.03447839868532,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
59,7 St & Monroe St,12 St & Sinatra Dr N,28.0,7 St & Monroe St,40.74642493639741,-74.0380286862046,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
60,8 St & Washington St,12 St & Sinatra Dr N,76.0,8 St & Washington St,40.74598271979199,-74.02816823278691,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
61,9 St HBLR - Jackson St & 8 St,12 St & Sinatra Dr N,33.0,9 St HBLR - Jackson St & 8 St,40.74793281278844,-74.03841112969273,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
62,Adams St & 11 St,12 St & Sinatra Dr N,21.0,Adams St & 11 St,40.75086734758054,-74.03356182037257,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
63,Adams St & 2 St,12 St & Sinatra Dr N,26.0,Adams St & 2 St,40.73979841179733,-74.03689012302054,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
64,Bergen Ave & Sip Ave,12 St & Sinatra Dr N,3.0,Bergen Ave & Sip Ave,40.73104361248367,-74.06443169597715,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
65,Bloomfield St & 15 St,12 St & Sinatra Dr N,28.0,Bloomfield St & 15 St,40.75450461099914,-74.02657712307197,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
66,Brunswick & 6th,12 St & Sinatra Dr N,3.0,Brunswick & 6th,40.72602894617706,-74.0503929030257,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
67,Brunswick St,12 St & Sinatra Dr N,1.0,Brunswick St,40.72414786663121,-74.05066483953951,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
68,Church Sq Park - 5 St & Park Ave,12 St & Sinatra Dr N,42.0,Church Sq Park - 5 St & Park Ave,40.742657893537604,-74.03224963376663,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
69,City Hall,12 St & Sinatra Dr N,6.0,City Hall,40.717730294069206,-74.04387749609651,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
70,City Hall - Washington St & 1 St,12 St & Sinatra Dr N,94.0,City Hall - Washington St & 1 St,40.73733143020761,-74.03099042544189,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
71,Clinton St & 7 St,12 St & Sinatra Dr N,15.0,Clinton St & 7 St,40.7454153433474,-74.03333382214838,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
72,Clinton St & Newark St,12 St & Sinatra Dr N,32.0,Clinton St & Newark St,40.73744627151288,-74.03570246500215,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
73,Columbus Dr at Exchange Pl,12 St & Sinatra Dr N,2.0,Columbus Dr at Exchange Pl,40.71687448913104,-74.03282962516803,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
74,Columbus Drive,12 St & Sinatra Dr N,6.0,Columbus Drive,40.718414308152724,-74.03889053483775,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
75,Columbus Park - Clinton St & 9 St,12 St & Sinatra Dr N,31.0,Columbus Park - Clinton St & 9 St,40.748178812964326,-74.03245770266106,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
76,Essex Light Rail,12 St & Sinatra Dr N,1.0,Essex Light Rail,40.712771947644676,-74.03648087782008,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
77,Fairmount Ave,12 St & Sinatra Dr N,1.0,Fairmount Ave,40.72573472368576,-74.07196707842732,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
78,Glenwood Ave,12 St & Sinatra Dr N,2.0,Glenwood Ave,40.727580138580144,-74.07106338931554,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
79,Grand St,12 St & Sinatra Dr N,7.0,Grand St,40.71515821580811,-74.03768259947958,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
80,Grand St & 14 St,12 St & Sinatra Dr N,27.0,Grand St & 14 St,40.7540790923323,-74.03159436971573,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
81,Grove St PATH,12 St & Sinatra Dr N,1.0,Grove St PATH,40.71960099717589,-74.04314261412735,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
82,Hamilton Park,12 St & Sinatra Dr N,2.0,Hamilton Park,40.72757525453402,-74.04424621144935,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
83,Harborside,12 St & Sinatra Dr N,11.0,Harborside,40.719258962545155,-74.03423038123101,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
84,Heights Elevator,12 St & Sinatra Dr N,8.0,Heights Elevator,40.74873175053401,-74.04046738441166,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
85,Hilltop,12 St & Sinatra Dr N,10.0,Hilltop,40.731153329839415,-74.05754064420803,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
86,Hoboken Ave at Monmouth St,12 St & Sinatra Dr N,9.0,Hoboken Ave at Monmouth St,40.73522741244787,-74.04694300708235,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
87,Hoboken Terminal - Hudson St & Hudson Pl,12 St & Sinatra Dr N,39.0,Hoboken Terminal - Hudson St & Hudson Pl,40.73593737788959,-74.03032257184493,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
88,Hoboken Terminal - River St & Hudson Pl,12 St & Sinatra Dr N,262.0,Hoboken Terminal - River St & Hudson Pl,40.73608642790891,-74.02913390169225,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
89,Hudson St & 4 St,12 St & Sinatra Dr N,127.0,Hudson St & 4 St,40.740954266970824,-74.02859404962996,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
90,JC Medical Center,12 St & Sinatra Dr N,2.0,JC Medical Center,40.716536226401026,-74.04961717509839,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
91,Jersey & 6th St,12 St & Sinatra Dr N,2.0,Jersey & 6th St,40.72528591390771,-74.04555620790973,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
92,Lafayette Park,12 St & Sinatra Dr N,1.0,Lafayette Park,40.71347729768909,-74.06284897649236,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
93,Lincoln Park,12 St & Sinatra Dr N,2.0,Lincoln Park,40.72461556840027,-74.07841011783746,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
94,Madison St & 1 St,12 St & Sinatra Dr N,13.0,Madison St & 1 St,40.73878495960618,-74.03927437553686,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
95,Madison St & 10 St,12 St & Sinatra Dr N,21.0,Madison St & 10 St,40.74996974427502,-74.03586588196806,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
96,Mama Johnson Field - 4 St & Jackson St,12 St & Sinatra Dr N,10.0,Mama Johnson Field - 4 St & Jackson St,40.74313645259126,-74.04004906146669,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
97,Marin Light Rail,12 St & Sinatra Dr N,3.0,Marin Light Rail,40.714585169920014,-74.04281584524314,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
98,Marshall St & 2 St,12 St & Sinatra Dr N,21.0,Marshall St & 2 St,40.740765367506214,-74.04254964402006,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
99,Monmouth and 6th,12 St & Sinatra Dr N,2.0,Monmouth and 6th,40.725665114944135,-74.04880399651331,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
100,Morris Canal,12 St & Sinatra Dr N,3.0,Morris Canal,40.71238483701534,-74.038468170639,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
101,Newark Ave,12 St & Sinatra Dr N,4.0,Newark Ave,40.72151674031582,-74.04630136759572,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
102,Newport PATH,12 St & Sinatra Dr N,6.0,Newport PATH,40.727220293617044,-74.03375238731287,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
103,Newport Pkwy,12 St & Sinatra Dr N,34.0,Newport Pkwy,40.72874290486994,-74.03211046211277,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
104,Oakland Ave,12 St & Sinatra Dr N,1.0,Oakland Ave,40.73759292489517,-74.05245382611778,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
105,Paulus Hook,12 St & Sinatra Dr N,3.0,Paulus Hook,40.714145417895736,-74.03355037847584,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
106,Pershing Field,12 St & Sinatra Dr N,7.0,Pershing Field,40.742657183344456,-74.05181096657569,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
107,Riverview Park,12 St & Sinatra Dr N,4.0,Riverview Park,40.744459053317044,-74.04391302290752,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
108,South Waterfront Walkway - Sinatra Dr & 1 St,12 St & Sinatra Dr N,335.0,South Waterfront Walkway - Sinatra Dr & 1 St,40.73700753288959,-74.02777588542521,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
109,Southwest Park - Jackson St & Observer Hwy,12 St & Sinatra Dr N,20.0,Southwest Park - Jackson St & Observer Hwy,40.7375689337438,-74.04166100633643,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
110,Stevens - River Ter & 6 St,12 St & Sinatra Dr N,22.0,Stevens - River Ter & 6 St,40.743144991244904,-74.0269876793701,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
111,Warren St,12 St & Sinatra Dr N,31.0,Warren St,40.72112066810259,-74.03803718607728,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
112,Washington St,12 St & Sinatra Dr N,11.0,Washington St,40.724291891746596,-74.03548133892006,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
113,Willow Ave & 12 St,12 St & Sinatra Dr N,23.0,Willow Ave & 12 St,40.751887812263035,-74.03037017113127,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
114,11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,35.0,11 St & Washington St,40.749990333032464,-74.02718736140429,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
115,12 St & Sinatra Dr N,14 St Ferry - 14 St & Shipyard Ln,57.0,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
116,4 St & Grand St,14 St Ferry - 14 St & Shipyard Ln,35.0,4 St & Grand St,40.742268376059016,-74.03508320196188,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
117,5 Corners Library,14 St Ferry - 14 St & Shipyard Ln,2.0,5 Corners Library,40.73497416679167,-74.05952595831847,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
